"","age","HI"
"10701",19,2540.86508107154
"10702",19,2853.49362203687
"10703",19,4838.62329365431
"10704",19,5490.08363583123
"10705",19,1632.31851238377
"10706",19,8898.07812267096
"10707",19,3198.53851904268
"10708",19,4059.83296586927
"10709",19,4339.88300549638
"10710",19,3864.96634918967
"10711",19,3575.24994585103
"10712",19,4474.56316486827
"10713",19,6660.39661205326
"10714",19,6507.76877682658
"10715",19,2759.23607681038
"10716",19,3749.96665935975
"10717",19,7256.1306103093
"10718",19,6896.32163448901
"10719",19,3120.77138252166
"10720",19,7486.02408861682
"10721",19,3163.0541515646
"10722",19,3578.30770808811
"10723",19,4680.98261292266
"10724",19,4135.70546775066
"10725",19,2257.84745789755
"10726",19,2893.69433193503
"10727",19,5628.08362731598
"10728",19,1707.70265522156
"10729",19,5044.0211461689
"10730",19,2693.38866655944
"10731",19,4180.69665410264
"10732",19,4343.77243797021
"10733",19,6362.08813562835
"10734",19,3771.69753524823
"10735",19,3681.98371713591
"10736",19,5664.94136971063
"10737",19,3866.21737609706
"10738",19,5111.07651777667
"10739",19,5976.09315601167
"10740",19,3440.99860467308
"10741",19,5513.93480567695
"10742",19,3902.50806874623
"10743",19,5087.26043233855
"10744",19,3831.31651096881
"10745",19,7060.21148141059
"10746",19,5935.57409587032
"10747",19,4131.72552605566
"10748",19,1635.43298384872
"10749",19,6424.82280254238
"10750",19,4148.48724356761
"10751",19,2782.29849036253
"10752",19,4562.40660338473
"10753",19,4425.92085931494
"10754",19,3787.46606925726
"10755",19,5974.91061042213
"10756",19,3326.13637606757
"10757",19,4653.92626645895
"10758",19,2865.76274825987
"10759",19,4937.40277937189
"10760",19,4850.52183468708
"10761",19,2633.25236557496
"10762",19,3903.61280160971
"10763",19,5422.39972209578
"10764",19,6267.52093279134
"10765",19,5197.52820258959
"10766",19,3927.0452141298
"10767",19,8157.63063360999
"10768",19,3776.57359798322
"10769",19,2970.54608602937
"10770",19,3529.40685555307
"10771",19,6524.52974504124
"10772",19,3860.61349227933
"10773",19,5164.20347336439
"10774",19,7063.14246876713
"10775",19,3940.65895347437
"10776",19,3547.89243662685
"10777",19,3749.17957003169
"10778",19,9449.48733536268
"10779",19,3400.8448774564
"10780",19,4853.92320527116
"10781",19,5728.69839019935
"10782",19,2996.11879616271
"10783",19,5009.80791901114
"10784",19,5849.70102549788
"10785",19,4370.02661555785
"10786",19,3376.09135893481
"10787",19,4132.11082620086
"10788",19,4926.57123826864
"10789",19,3730.66153433115
"10790",19,5425.92557089667
"10791",19,4057.87723129895
"10792",19,3544.27920414871
"10793",19,6802.81737806339
"10794",19,2664.98874015642
"10795",19,4856.85516483431
"10796",19,4040.193366883
"10797",19,4248.97854480734
"10798",19,4256.39602824789
"10799",19,3353.37876755492
"10800",19,3569.61296282303
"39601",19,5276.45048799964
"39602",19,5244.35715698249
"39603",19,3638.09146459287
"39604",19,6960.86765108764
"39605",19,3811.86794305017
"39606",19,4295.6605576108
"39607",19,6273.4959354651
"39608",19,2232.18738868151
"39609",19,3863.54378434683
"39610",19,3744.92794797821
"39611",19,4418.90506384136
"39612",19,2915.36389713628
"39613",19,5434.15238988897
"39614",19,3832.68457276915
"39615",19,5412.09616187541
"39616",19,3786.43890748919
"39617",19,3637.71509560228
"39618",19,4122.23565656564
"39619",19,5226.85944552849
"39620",19,6133.62716949934
"39621",19,3429.2202002672
"39622",19,2831.24907205305
"39623",19,5793.27838323694
"39624",19,3648.62781710145
"39625",19,4990.49683031416
"39626",19,4946.58683119303
"39627",19,6353.98386061023
"39628",19,3678.12769404975
"39629",19,4823.38713347911
"39630",19,4202.56392267128
"39631",19,4024.67293684913
"39632",19,3417.66327068894
"39633",19,4854.2441533063
"39634",19,5666.49586619465
"39635",19,6377.34859467085
"39636",19,2231.14837560358
"39637",19,4426.64627891621
"39638",19,3802.27922499076
"39639",19,3759.50125219371
"39640",19,7704.0987974854
"39641",19,3119.16547809681
"39642",19,5683.74105049526
"39643",19,2726.06211911237
"39644",19,5213.06834656094
"39645",19,2148.76453560821
"39646",19,4038.09187921875
"39647",19,5229.22475666609
"39648",19,4620.93227839544
"39649",19,3190.75577453331
"39650",19,2407.61653153043
"39651",19,3319.77812915398
"39652",19,4214.89025956231
"39653",19,5072.9791328183
"39654",19,5329.42145090073
"39655",19,5982.62206739238
"39656",19,3353.32677793938
"39657",19,5828.46042698156
"39658",19,3865.69679933626
"39659",19,3774.41229482864
"39660",19,4267.38370764213
"39661",19,2334.70534342155
"39662",19,5408.01090378315
"39663",19,7997.73186367387
"39664",19,2710.53282239579
"39665",19,2661.33868195776
"39666",19,6122.73844026883
"39667",19,4859.93828415247
"39668",19,3207.98830523638
"39669",19,8229.23387961208
"39670",19,3309.04278385649
"39671",19,7096.10787808772
"39672",19,3999.41512350082
"39673",19,5481.20379154676
"39674",19,5055.64252178541
"39675",19,3385.39753703397
"39676",19,3386.90819017563
"39677",19,1973.76774562163
"39678",19,5013.27250888832
"39679",19,3228.80213384366
"39680",19,3794.99194424475
"39681",19,2113.77272905869
"39682",19,3988.28510503728
"39683",19,4999.61086693165
"39684",19,2985.6065940287
"39685",19,4441.33287570195
"39686",19,4712.68038598185
"39687",19,4588.43317592001
"39688",19,6248.44585381267
"39689",19,3554.61668475949
"39690",19,3900.32311556697
"39691",19,4322.50828059053
"39692",19,4962.12368488061
"39693",19,5211.46240019878
"39694",19,5946.87246744874
"39695",19,4085.84180105895
"39696",19,3240.08307609531
"39697",19,6107.74120535489
"39698",19,3917.3680134305
"39699",19,5372.14889063701
"39700",19,4234.6881120889
"47801",20,3906.53661480489
"47802",20,3887.22786760253
"47803",20,4861.11128239755
"47804",20,4669.37679475466
"47805",20,4537.02493975705
"47806",20,3206.52010340007
"47807",20,5528.84743803586
"47808",20,6299.60713222969
"47809",20,2067.23686023726
"47810",20,3769.89112071397
"47811",20,5020.97450415829
"47812",20,3432.0183394372
"47813",20,4245.57707958911
"47814",20,3514.43146265256
"47815",20,6538.03010234978
"47816",20,1869.54164483318
"47817",20,4890.78803306117
"47818",20,2237.5236875492
"47819",20,5704.49150804082
"47820",20,2736.180877623
"47821",20,5109.59805677117
"47822",20,3394.22688215336
"47823",20,4673.34128855054
"47824",20,5170.1424570841
"47825",20,4992.48735919112
"47826",20,2996.70192224878
"47827",20,5117.180200507
"47828",20,4037.1546593835
"47829",20,3992.80489431313
"47830",20,2934.17614079277
"47831",20,4853.83544246973
"47832",20,4591.6990463445
"47833",20,4943.04738809118
"47834",20,3545.16366608093
"47835",20,3328.18264934313
"47836",20,4332.59995856042
